n,m,density,k2tree_time,k2tree_compression,huffman_time,huffman_compression
10,25,0.5555555555555556,0.002966165542602539,2.09,0.0,0.76
50,225,0.1836734693877551,0.028999805450439453,1.3956,0.0020012855529785156,0.6616
50,400,0.32653061224489793,0.028998851776123047,1.562,0.0009996891021728516,0.8712
50,600,0.4897959183673469,0.027999401092529297,1.5108,0.0010037422180175781,0.918
50,400,0.32653061224489793,0.01596379280090332,0.8004,0.0009999275207519531,0.4532
100,475,0.09595959595959595,0.03300023078918457,0.3953,0.002999544143676758,0.446
100,900,0.18181818181818182,0.32099294662475586,0.4289,0.0029981136322021484,0.6651
100,1600,0.32323232323232326,0.03603315353393555,0.4289,0.003999233245849609,0.873
100,2400,0.48484848484848486,0.03399991989135742,0.3969,0.004004478454589844,0.8918
100,2400,0.48484848484848486,0.028995513916015625,0.3329,0.003967761993408203,0.674
100,1600,0.32323232323232326,0.018031597137451172,0.2001,0.0029997825622558594,0.3922
200,975,0.048994974874371856,0.4890012741088867,0.640825,0.009992599487304688,0.293825
200,1900,0.09547738693467336,0.5979704856872559,0.942425,0.01096796989440918,0.444825
200,3600,0.18090452261306533,1.0140352249145508,1.291625,0.010968923568725586,0.66375
200,6400,0.32160804020100503,0.8050315380096436,1.574425,0.011001825332641602,0.871225
200,8400,0.4221105527638191,1.1319987773895264,1.583225,0.011047124862670898,0.92535
200,9600,0.4824120603015075,1.1070005893707275,1.474425,0.010999202728271484,0.87385
200,10000,0.5025125628140703,0.7400000095367432,1.336825,0.010996818542480469,0.779875
200,7500,0.3768844221105528,0.5750024318695068,0.814025,0.011003494262695312,0.43825
400,1975,0.02474937343358396,0.6439645290374756,0.22590625,0.038973331451416016,0.20964375
400,3900,0.04887218045112782,0.765002965927124,0.31820625,0.03799891471862793,0.2951875
400,7600,0.09523809523809523,1.1789677143096924,0.38910625,0.037999629974365234,0.4444625
400,14400,0.18045112781954886,1.2650327682495117,0.42620625,0.03899884223937988,0.66165625
400,20400,0.2556390977443609,0.9370009899139404,0.42910625,0.040000200271606445,0.79160625
400,25600,0.3208020050125313,1.2649996280670166,0.42200625,0.03900289535522461,0.86698125
400,30000,0.37593984962406013,0.9300038814544678,0.41350625,0.04000043869018555,0.9044125
400,37500,0.4699248120300752,1.2049672603607178,0.38150625,0.03896689414978027,0.886925
400,40000,0.5012531328320802,0.8170387744903564,0.33580625,0.03899693489074707,0.75944375
400,30000,0.37593984962406013,0.6260013580322266,0.20350625,0.03900265693664551,0.411125
