n,m,density,k2tree_time,k2tree_compression,huffman_time,huffman_compression
10,25,0.5555555555555556,0.0,0.82,0.0009965896606445,0.74
50,225,0.1836734693877551,0.0079929828643798,0.3208,0.000974416732788,0.6612
50,400,0.3265306122448979,0.11171138286590569,0.2578,0.0015004873275756502,0.667
50,600,0.4897959183673469,0.0069990158081054,0.2956,0.001000165939331,0.916
100,475,0.0959595959595959,0.0429995059967041,0.4555,0.004000186920166,0.4468
100,900,0.1818181818181818,0.0570006370544433,0.6013,0.0039999485015869,0.6676
100,1600,0.3232323232323232,0.151299238204956,0.49060000000000004,0.003482699394226,0.63445
100,2400,0.4848484848484848,0.0525550842285156,0.5639500000000001,0.0034021139144897,0.78355
200,975,0.0489949748743718,0.1472370624542236,0.406375,0.0114212036132812,0.293275
200,1900,0.0954773869346733,0.506648063659668,0.6046,0.0112030506134033,0.44355
200,3600,0.1809045226130653,0.5945265293121338,0.92905,0.0110001564025878,0.66565
200,6400,0.321608040201005,0.940058708190918,1.230325,0.011648416519165,0.869175
200,7500,0.3768844221105528,0.5034711360931396,0.7342,0.0118796825408935,0.43775
200,8400,0.4221105527638191,0.7266733646392822,1.3327,0.0130348205566406,0.92425
200,9600,0.4824120603015075,0.9804472923278807,1.317175,0.0110013484954833,0.8762
200,10000,0.5025125628140703,0.6770288944244385,1.200175,0.0112733840942382,0.77805
400,1975,0.0247493734335839,0.3031606674194336,0.14985625,0.0402185916900634,0.2098125
400,3900,0.0488721804511278,0.5973536968231201,0.221125,0.0391809940338134,0.293875
400,7600,0.0952380952380952,0.9770312309265136,0.3013375,0.0401637554168701,0.444825
400,14400,0.1804511278195488,1.1213819980621338,0.37069375,0.0399866104125976,0.66264375
400,20400,0.2556390977443609,0.8959126472473145,0.3947125,0.0400006771087646,0.790975
400,25600,0.3208020050125313,1.166416883468628,0.39415,0.0390002727508544,0.86809375
400,30000,0.3759398496240601,0.6449031829833984,0.28958125,0.040118932723998954,0.658996875
400,37500,0.4699248120300752,1.140493631362915,0.35966875,0.038722276687622,0.88656875
400,40000,0.5012531328320802,1.061168909072876,0.31658125,0.0399987697601318,0.76004375
600,2975,0.0165553700612131,1.2380492687225342,0.1864527777777777,0.0929996967315673,0.1810944444444444
600,5900,0.0328324986087924,2.102256774902344,0.3103527777777777,0.0910000801086425,0.2388333333333333
600,11600,0.0645520311630495,2.906741142272949,0.4852027777777777,0.0868244171142578,0.3468666666666666
600,22400,0.1246521981079577,3.6213629245758057,0.7290277777777778,0.0855987071990966,0.5308305555555556
600,32400,0.1803005008347245,4.451816320419312,0.9160527777777778,0.089508056640625,0.6623194444444445
600,41600,0.23149693934335,4.987721920013428,1.0479777777777777,0.0876116752624511,0.752625
600,50000,0.2782415136338341,3.692565441131592,0.8284277777777777,0.08679103851318355,0.5518777777777778
600,67500,0.3756260434056761,5.817774295806885,1.2895777777777775,0.0896391868591308,0.9023083333333334
600,80000,0.4451864218141346,4.820364356040955,1.1299402777777776,0.0872746706008911,0.7140375000000001
600,90000,0.5008347245409015,5.890522241592407,1.1993027777777778,0.0851838588714599,0.7591416666666667
800,3975,0.0124374217772215,1.0621452331542969,0.142609375,0.1702227592468261,0.16686875
800,7900,0.0247183979974968,2.624077320098877,0.230471875,0.1494851112365722,0.21019375
800,15600,0.048811013767209,3.085181713104248,0.3589046875,0.1572017669677734,0.2942625
800,30400,0.0951188986232791,5.276047706604004,0.52890625,0.1583638191223144,0.44405
800,44400,0.1389236545682102,5.863837242126465,0.639578125,0.1536867618560791,0.5699171875
800,57600,0.1802252816020025,5.908982515335083,0.71723125,0.1574783325195312,0.6613328125
800,70000,0.2190237797246558,6.74463677406311,0.770078125,0.1612708568572998,0.7326109375
800,97500,0.3050688360450563,7.240598440170288,0.832346875,0.1549780368804931,0.8500921875
800,120000,0.3754693366708385,7.338062047958374,0.8443,0.159224271774292,0.9028125
800,150000,0.4693366708385482,5.530892968177795,0.6834179687499999,0.14929640293121335,0.7363640625000001
800,160000,0.5006257822277848,6.2109904289245605,0.6985,0.149242877960205,0.753925
1000,4975,0.0099599599599599,1.9261345863342283,0.114625,0.2222106456756591,0.158166
1000,9900,0.0198198198198198,2.782110929489136,0.182314,0.2370247840881347,0.192605
1000,19600,0.0392392392392392,4.210325717926025,0.276868,0.2236461639404297,0.261297
1000,38400,0.0768768768768768,5.456474542617798,0.391132,0.2338767051696777,0.38678
1000,56400,0.1129129129129129,6.38515043258667,0.461593,0.2336254119873047,0.497194
1000,73600,0.1473473473473473,7.097583293914795,0.504838,0.2511093616485595,0.591474
1000,90000,0.1801801801801801,6.671887397766113,0.533584,0.2400078773498535,0.661615
1000,127500,0.2552552552552553,7.756139516830444,0.564778,0.2464549541473388,0.790077
1000,160000,0.3203203203203203,7.171574592590332,0.566353,0.2561132907867431,0.866867
1000,210000,0.4204204204204204,7.623870372772217,0.54487,0.2448792457580566,0.912443
1000,240000,0.4804804804804805,6.528838157653809,0.505288,0.2438416481018066,0.863125
1000,250000,0.5005005005005005,5.78000807762146,0.451,0.2317590713500976,0.755107
