n,m,density,k2tree_time,k2tree_compression,huffman_time,huffman_compression
1000,4975,0.00995995995995996,1.9213740825653076,0.059769,0.29224681854248047,0.158201
1000,9900,0.01981981981981982,2.8854198455810547,0.093253,0.28979969024658203,0.192796
1000,19600,0.03923923923923924,3.623624801635742,0.138501,0.32700085639953613,0.261128
1000,38400,0.07687687687687687,4.660281181335449,0.197249,0.3029134273529053,0.38644
1000,56400,0.11291291291291292,4.548890590667725,0.234557,0.2999601364135742,0.497221
1000,73600,0.14734734734734733,5.513522624969482,0.260185,0.33952903747558594,0.590677
1000,90000,0.18018018018018017,6.102963924407959,0.279473,0.30657219886779785,0.661068
1000,127500,0.2552552552552553,5.668355464935303,0.307193,0.3151712417602539,0.789112
1000,160000,0.3203203203203203,6.525244474411011,0.317785,0.31262707710266113,0.866755
1000,210000,0.42042042042042044,5.783661603927612,0.313857,0.3079841136932373,0.913414
1000,240000,0.4804804804804805,6.405102968215942,0.293233,0.3143343925476074,0.862984
1000,250000,0.5005005005005005,4.962374210357666,0.263673,0.3118448257446289,0.755599
1000,240000,0.4804804804804805,5.275918960571289,0.225597,0.2997293472290039,0.618623
1000,210000,0.42042042042042044,3.108212471008301,0.180049,0.29763340950012207,0.470359
1000,160000,0.3203203203203203,3.147991180419922,0.129353,0.2971160411834717,0.315445
1000,90000,0.18018018018018017,1.6617076396942139,0.069645,0.29024338722229004,0.197703
